2015/11/29 13:25:34: Break:  连接失败！
2015/11/29 14:42:58: 任务号:82,226; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:43:00: 任务号:82,226; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:43:01: 任务号:82,226; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:43:03: 任务号:82,226; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:43:05: 任务号:82,226; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:3; 深度:1
2015/11/29 14:43:07: 任务号:82,226; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:3; 深度:2
2015/11/29 14:43:13: 任务号:82,226; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:3; 深度:1
2015/11/29 14:43:15: 任务号:82,226; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:43:16: 任务号:82,226; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:43:18: 任务号:82,226; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:2; 深度:0
2015/11/29 14:43:19: 任务号:82,226; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:43:22: 任务号:82,226; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:43:23: 任务号:82,226; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:43:26: 任务号:82,226; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:1; 列:1; 列前后:1; 高度:1; 深度:2
2015/11/29 14:43:31: 任务号:82,226; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:1; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:43:32: 任务号:82,226; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:23; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:43:49: 任务号:82,227; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:43:51: 任务号:82,227; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:43:52: 任务号:82,227; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:43:54: 任务号:82,227; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:43:56: 任务号:82,227; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:3; 深度:1
